segment	best	score
Application to currencies other than the euro	Application to become a registered exporter	61
Access to VIS data for identification of persons in specific circumstances	insufficient data for identification of person concerned.	66
ECUADOR	EUR	60
The EU acquis listed in Appendix XVII-3 (Rules applicable to telecommunication services), Appendix XVII-4 (Rules applicable to postal and courier services) and Appendix XVII-5 (Rules applicable to international maritime transport) to Annex XVII to the Agreement has substantially evolved since the initialling of the text of the Agreement on 30 March 2012.	It is therefore appropriate to establish the position to be taken on the Union ’ s behalf within the Association Committee in Trade configuration, as the Decision amending Appendix XVII-3 (Rules applicable to telecommunication services), Appendix XVII-4 (Rules applicable to postal and courier services) and Appendix XVII-5 (Rules applicable to international maritime transport) to Annex XVII to the Agreement will be binding upon the Union,	70
Special condition catches 2020 (in tonnes)	Technical conditions for terminal stations	60
This Regulation sets out the specific objectives and the scope of support from the European Regional Development Fund (ERDF) with regard to the Investment for jobs and growth goal and the European territorial cooperation goal (Interreg) referred to in Article 5 (2) of Regulation (EU) 2021/1060.	This appropriation is intended to cover ERDF support under the Investment for jobs and growth goal and for the European territorial cooperation goal (Interreg) in the 2021-2027 programming period.	62
2A001 Anti-friction bearings, bearing systems and components, as follows:	Acoustic systems, equipment and components, as follows:	64
In that case, the provisions of this Title shall be reinstated.	In that case, possible interaction between active substances shall also be investigated.	61
The data to be made available by manufacturers to third parties under Article 13 (10) of Regulation (EU) 2018/858 shall include the following:	Data to be made available by manufacturers to third parties for the purpose of testing for possible non-compliance	65
The following list of activities shall be excluded for investment purposes on ethical or moral grounds:	The following products shall be excluded from the product described in Article 1 (1):	62
1 June to 31 May	1 January to 31 March	70
for vehicles of category L, the tailpipe CO2 emissions equal to 0 g CO2e/km calculated in accordance with the emission test laid down in Regulation (EU) 168/2013.	The excess emission premium is to be calculated in accordance with Article 8 (2) of Regulation (EU) 2019/631.	60
Keep away from direct sunlight.	Keep away from sources of ignition.	67
The Executive Director shall perform the following tasks:	The governing board shall carry out the following tasks:	69
60486 Frankfurt/M	60549 Frankfurt am Main	70
0256100 Tarragon	0213020 Carrots	65
Pectinidae, marine gastropods and holothuroidea which are not filter feeders, must not be placed on the market for human consumption otherwise than via a fish auction, a dispatch centre or a processing establishment.	Pectinidae, marine gastropods and holothuroidea which are not filter feeders, must not be placed on the market unless they are harvested and handled in accordance with Part B of Chapter II and meet the standards laid down in Chapter V, as demonstrated by a system of own-checks by the food business operators operating a fish auction, a dispatch centre or a processing establishment;	67
